"PDF Feature","Was wir bauen"
"Story 1.1 – ASP.NET Core","✅ TicketSystem (Haupt-Projekt)"
"Story 1.2 – Datenbank","✅ TicketSystem.Infrastructure"
"Story 1.3 – Authentifizierung","🔜 Phase 4"
"Story 2.2 – Projekte CRUD","✅ Domain Models"
"Story 2.3 – Benutzer","✅User.csModel"
"Story 3.1 – Tickets anlegen","✅Ticket.csModel"
"Story 3.2 – Liste & Detailseite","🔜 Controller + Views"
"Story 3.3/3.4 – Bearbeiten/Schließen","🔜 Services"
"Story 4.1/4.2 – Startseite + Statistiken","🔜 Design am Ende"
"Story 5.1 – Kommentare","🔜 später"
"Story 6.x – Filterung","🔜 später"
